title,published_date,apply_by_date,job_url,data_added
Servicetekniker med eget ansvar och frihet!,12/06/25,22/06/25,https://www.poolia.se/lediga-jobb/uppsala/servicetekniker-med-eget-ansvar-och-frihet-4/73935,14/06/25
SSP rekryterar Servicetekniker,11/06/25,03/07/25,https://www.poolia.se/lediga-jobb/uppsala/ssp-rekryterar-servicetekniker-2/74000,14/06/25
Förvaltningschef Vård och Omsorgsförvaltningen,11/06/25,10/08/25,https://www.poolia.se/lediga-jobb/uppsala/forvaltningschef-vard-och-omsorgsforvaltningen-6/73962,14/06/25
Ekonomisamordnare för spännande uppdrag till SLU,10/06/25,24/06/25,https://www.poolia.se/lediga-jobb/uppsala/ekonomisamordnare-for-spannande-uppdrag-till-slu/73972,14/06/25
Butikssäljare på deltid till Ahlsell,09/06/25,30/06/25,https://www.poolia.se/lediga-jobb/uppsala/butikssaljare-pa-deltid-till-ahlsell/73865,14/06/25
Erfaren drifttekniker till Uppsala Fastighetstjänst,04/06/25,15/06/25,https://www.poolia.se/lediga-jobb/uppsala/erfaren-drifttekniker-till-uppsala-fastighetstjanst/73842,14/06/25
UX/UI-designer till Uppsala Bostadsförmedling,28/05/25,15/06/25,https://www.poolia.se/lediga-jobb/uppsala/ux-ui-designer-till-uppsala-bostadsformedling/70232,14/06/25
Förvaltningsekonom till Riksbyggen i Uppsala,22/05/25,15/06/25,https://www.poolia.se/lediga-jobb/uppsala/forvaltningsekonom-till-riksbyggen-i-uppsala/73880,14/06/25
Administratörer/receptionister/kundtjänstmedarbetare för kommande uppdrag!,13/05/25,15/06/25,https://www.poolia.se/lediga-jobb/uppsala/administratorer-receptionister-kundtjanstmedarbetare-for-kommande-uppdrag/73815,14/06/25
Redovisningsekonom för kommande uppdrag,13/05/25,15/06/25,https://www.poolia.se/lediga-jobb/uppsala/redovisningsekonom-for-kommande-uppdrag/73816,14/06/25
